Cluster,N_Turisti,Percentuale,Visite_Medie,POI_Distinti,Top_POI
0,2679,3.5%,7.7,7.7,Museo Storia
1,9950,12.8%,6.0,6.0,Tomba Giulietta
2,16126,20.8%,5.1,5.0,Duomo
3,11370,14.7%,5.7,5.6,Palazzo della Ragione
4,24900,32.1%,3.4,3.4,Arena
5,12442,16.0%,6.6,6.6,San Zeno
6,116,0.1%,8.3,8.2,Museo Miniscalchi
