Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,6.42,44.71
2015,6.98,45.42
2016,6.92,45.17
2017,6.22,44.51
2018,6.74,46.0
2019,7.37,46.43
2020,7.07,43.86
2021,6.78,47.35
2022,7.6,47.25
2023,6.1,44.59
