Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,37.92,74.83
2015,30.81,70.63
2016,34.13,75.16
2017,33.72,73.63
2018,34.82,75.31
2019,35.65,73.7
2020,32.81,74.03
2021,30.56,72.7
2022,31.54,74.52
2023,29.92,73.52
