Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,29.0,29.0
2015,28.19,28.19
2016,29.68,29.68
2017,29.2,29.2
2018,30.0,30.0
2019,29.93,29.93
2020,25.78,25.78
2021,27.78,27.78
2022,32.17,32.17
2023,30.04,30.04
