Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,7.27,54.23,23.44,100.0,218.18
2015,6.26,55.06,22.45,95.45,163.64
2016,11.56,57.6,26.67,95.45,186.36
2017,11.51,55.82,25.76,95.45,195.45
2018,19.08,57.81,32.43,95.45,190.91
2019,20.46,61.02,35.17,95.45,377.27
2020,14.31,55.75,29.73,95.45,122.73
2021,16.82,57.57,31.21,95.45,340.91
2022,20.86,59.32,34.7,95.45,281.82
2023,18.69,56.93,32.53,95.45,177.27
