Strategy,Min_Processing_Time_Seconds,Max_Processing_Time_Seconds,Mean_Processing_Time_Seconds,Count_Records
Base,0.927s,12.974s,2.400s,1249249
Clustered-Time,0.981s,39.187s,2.632s,1249047
Geom,0.762s,25.250s,1.669s,1249038
Time,0.831s,13.608s,1.624s,1249047
