Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,31.18,64.56
2015,30.01,59.97
2016,24.56,54.06
2017,24.0,55.65
2018,29.01,60.25
2019,29.3,61.39
2020,29.38,61.86
2021,25.47,60.24
2022,30.3,64.43
2023,25.95,63.16
