Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,6.42,44.71,18.64,100.0,190.91
2015,6.98,45.42,19.29,100.0,159.09
2017,6.22,44.51,18.35,100.0,159.09
2018,6.74,46.0,19.16,100.0,181.82
2019,7.37,46.43,19.83,100.0,190.91
2020,7.07,43.86,18.62,95.45,145.45
2021,6.78,47.35,19.93,95.45,145.45
2022,7.6,47.25,20.26,95.45,145.45
2023,6.1,44.6,18.66,95.45,136.36
