Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,10.13,47.04
2015,4.62,46.5
2016,8.17,48.84
2017,8.49,48.02
2018,14.24,50.24
2019,15.37,52.35
2020,11.98,50.0
2021,19.97,54.24
2022,17.58,54.85
2023,16.55,52.06
