Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,3.18,24.27
2015,3.19,25.06
2016,3.09,25.7
2017,2.85,27.35
2018,2.82,27.03
2019,2.97,27.65
2020,3.7,30.8
2021,2.2,22.67
2022,2.2,24.54
2023,2.45,25.98
