card_id,cluster,PC1,PC2
0400043A9C4C85,2,-0.055617735231725175,-1.2183063552490403
0400093A9C4C85,0,0.7292539159645456,0.2900624463839759
04003E3A9C4C81,1,-0.2649119017023719,2.419596383775915
040041429C4C81,1,-1.1584162935192337,1.4959507573625643
04004B3A9C4C81,1,-0.4847027587913368,0.0682227623386663
0400533A9C4C81,1,-1.32629661012568,-0.3583550249292133
040055429C4C81,0,0.2015162785651631,-0.6017626577771065
0400804A9C4C81,1,-1.0386880053098233,1.0404179659453514
0400834A9C4C81,0,0.10665974025931098,-1.6991366296451365
040087429C4C81,2,1.0201491098058864,1.292018535332001
04008A429C4C81,1,-1.1041148569912382,1.6800395553913403
04008D429C4C81,1,-1.6412199614815965,0.20991054985021723
0400A472743381,2,1.8505735040191043,-0.8792704854790561
0400A572743381,2,0.9332799511158264,-0.8085044975388784
0400A772743381,2,-0.53056367631117,1.2980022646218399
0400AF3A9C4C81,1,-0.9656642270092289,1.7973497763690993
0400B83A9C4C81,3,0.12791236258898397,0.5099976972728052
0400BA3A9C4C81,2,0.6913803780605045,0.5166928876643002
0400BC3A9C4C81,6,1.8615309365103108,0.3478798411346931
0400BE429C4C81,2,-0.09940686706164785,-0.03831210565905577
0400C5429C4C81,3,-0.9208455594342675,1.0025481803996952
0400CD3A9C4C81,2,0.8293688957732266,-0.7997111505178309
0400E73A9C4C81,2,0.4926127844120525,-0.571887737182682
0400E93A9C4C81,2,2.165496855375021,-1.4475360602584868
0400EF3A9C4C81,0,0.2015162785651631,-0.6017626577771065
0400F23A9C4C81,3,-0.8955248983979771,-0.02590772843616339
0400FA3A9C4C81,2,-1.0787941959549479,0.6515836465554818
0401003A9C4C85,1,-0.6832095521760504,1.3854375650051747
0401023A9C4C85,1,-0.9550009241250966,-0.4600748702655555
0401043A9C4C85,0,0.6865158024192375,0.5712290073182588
0401093A9C4C85,2,-0.20278116617940983,-1.6407364992092273
04010A3A9C4C85,2,-1.4885740856167162,0.12247524946688257
04010B3A9C4C85,2,0.28002250178295324,-0.35469629169688005
040131429C4C81,2,-1.4885740856167162,0.12247524946688257
040133429C4C81,2,-0.33205688292645663,-0.019212538044668426
0401343A9C4C81,1,-1.7066468131630115,0.8495321392962062
040135429C4C81,1,0.4653202708984175,2.246898838496473
040140429C4C81,2,-1.0787941959549479,0.6515836465554818
040141429C4C81,1,-1.493438661257983,0.17701136912084126
040147429C4C81,1,-1.1041148569912382,1.6800395553913403
0401723A9C4C81,2,0.902392674073821,-0.04277934009408289
