Cluster,N_Turisti,Percentuale,Visite_Medie,POI_Distinti,Top_POI
0,16357,21.4%,6.1,6.0,Arena
1,31821,41.6%,3.8,3.8,Arena
2,15795,20.7%,6.3,6.3,Arena
3,10153,13.3%,4.2,4.2,Casa Giulietta
4,85,0.1%,8.4,8.4,Museo Miniscalchi
5,334,0.4%,8.5,8.5,Museo Radio
6,1907,2.5%,7.6,7.6,Museo Storia
