Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,0.81,10.66
2015,0.8,10.67
2016,0.84,10.84
2017,0.93,10.57
2018,0.85,9.96
2019,0.84,10.31
2020,1.3,10.52
2021,0.55,9.71
2022,0.91,10.59
2023,1.3,11.23
