Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,5.63,28.41
2015,5.75,28.3
2016,5.75,28.3
2017,5.52,27.95
2018,5.67,28.39
2019,5.74,28.49
2020,5.65,28.21
2021,5.4,27.53
2022,5.54,27.57
2023,5.52,27.12
