Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,0.04,1.1
2015,0.79,6.83
2016,3.06,25.73
2017,2.9,27.46
2018,2.81,27.06
2019,2.98,27.59
2020,3.82,30.63
2021,2.19,22.66
2022,2.21,24.51
2023,2.47,25.99
