Year,Value,Metric
2014,13.95,Top-1 Accuracy
2015,5.86,Top-1 Accuracy
2016,6.78,Top-1 Accuracy
2017,6.52,Top-1 Accuracy
2018,15.55,Top-1 Accuracy
2019,13.94,Top-1 Accuracy
2020,9.33,Top-1 Accuracy
2021,6.35,Top-1 Accuracy
2022,12.45,Top-1 Accuracy
2023,10.14,Top-1 Accuracy
2014,48.02,Top-5 Hit Rate
2015,49.25,Top-5 Hit Rate
2016,45.83,Top-5 Hit Rate
2017,44.76,Top-5 Hit Rate
2018,46.86,Top-5 Hit Rate
2019,45.75,Top-5 Hit Rate
2020,41.62,Top-5 Hit Rate
2021,39.43,Top-5 Hit Rate
2022,44.95,Top-5 Hit Rate
2023,42.08,Top-5 Hit Rate
