Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,35.12,66.95
2015,30.09,65.65
2016,28.77,67.86
2017,28.08,69.24
2018,29.66,65.68
2019,33.17,68.17
2020,25.08,66.7
2021,29.1,65.91
2022,33.44,69.24
2023,30.18,69.68
