Cluster,N_Turisti,Percentuale,Visite_Medie,POI_Distinti,Top_POI
0,33636,37.6%,3.6,3.5,Arena
1,16945,19.0%,6.5,6.5,Arena
2,11282,12.6%,4.1,4.1,Casa Giulietta
3,26666,29.8%,5.9,5.8,Arena
4,501,0.6%,8.8,8.7,Museo Radio
5,34,0.0%,7.7,7.6,Museo Miniscalchi
6,288,0.3%,5.6,5.6,Verona Tour
