Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,12.54,58.29
2015,12.63,57.93
2016,12.5,57.55
2017,12.76,57.93
2018,12.86,56.73
2019,13.61,57.96
2020,10.67,53.18
2021,14.19,55.68
2022,14.94,56.69
2023,11.98,55.13
