Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,17.12,53.68
2015,15.75,54.22
2016,15.12,54.47
2017,14.73,52.12
2018,19.44,51.81
2019,19.81,54.73
2020,13.9,52.35
2021,18.12,52.42
2022,20.1,53.33
2023,17.66,52.46
