Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,19.73,55.24
2015,19.84,54.51
2016,17.92,54.51
2017,17.2,53.07
2018,18.18,52.73
2019,18.5,53.61
2020,15.48,48.31
2021,15.77,50.1
2022,14.62,52.24
2023,15.48,51.29
