Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,13.87,58.44,27.87,100.0,972.73
2015,3.49,59.09,20.99,95.45,377.27
2016,12.18,61.74,28.93,95.45,631.82
2017,12.54,59.96,28.34,95.45,550.0
2018,20.41,62.11,34.76,95.45,1400.0
2019,21.97,64.45,37.67,95.45,1527.27
2020,15.09,61.04,31.77,95.45,586.36
2021,20.83,60.55,34.55,95.45,704.55
2022,21.22,63.9,36.9,95.45,1295.45
2023,20.71,61.61,34.65,95.45,413.64
