Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,0.04,1.11,0.38,95.45,3586.36
2016,3.09,30.35,11.46,63.64,2690.91
2017,2.93,32.39,11.61,63.64,2786.36
2018,2.83,31.41,11.25,59.09,2663.64
2019,2.99,31.94,11.68,63.64,3468.18
2020,3.87,34.35,13.27,36.36,1245.45
2021,2.22,27.46,9.7,36.36,1522.73
2022,2.25,28.9,10.17,54.55,2413.64
2023,2.51,30.9,10.87,40.91,1168.18
