Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2015,5.48,53.51,20.81,95.24,161.9
2016,5.88,53.02,20.88,95.24,157.14
2017,5.29,52.14,20.14,95.24,176.19
2018,5.86,52.65,20.61,95.24,180.95
2019,6.56,53.88,21.68,95.24,219.05
2020,5.77,49.43,19.52,95.24,138.1
2021,6.55,51.56,20.81,95.24,157.14
2022,7.54,52.91,21.82,95.24,166.67
