Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,13.67,42.64
2015,13.68,43.44
2016,13.9,43.39
2017,12.97,42.33
2018,13.31,42.56
2019,14.06,42.95
2020,10.9,41.42
2021,13.34,43.47
2022,14.43,43.1
2023,12.8,41.99
