Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,5.38,26.28
2015,5.21,26.17
2016,5.28,26.26
2017,5.18,25.94
2018,5.25,26.21
2019,5.17,26.12
2020,5.32,26.33
2021,5.1,25.35
2022,5.14,25.52
2023,5.22,26.13
