Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,12.26,42.26
2015,11.35,43.46
2016,10.16,43.26
2017,10.1,41.4
2018,14.66,43.74
2019,14.97,45.57
2020,10.83,43.65
2021,17.18,46.52
2022,16.03,46.07
2023,13.9,44.67
