Category,Percentage,Count,Records,Percentage_Numeric
Ragionamento Geospaziale,85.9%,"536,227",536227,85.9
Per Popolarità,11.4%,"71,504",71504,11.4
Ragionamento Temporale,1.8%,"11,519",11519,1.8
Continuità Tematica,0.5%,"3,065",3065,0.5
Per Esclusione,0.3%,"1,663",1663,0.3
Ragionamento Logico Generico,0.1%,546,546,0.1
