Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,27.52,65.75
2015,26.54,65.14
2016,26.68,65.65
2017,25.49,65.1
2018,27.09,64.86
2019,27.35,65.11
2020,18.42,60.34
2021,21.91,62.28
2022,25.79,63.71
2023,23.14,63.41
