Cluster,N_Turisti,Percentuale,Visite_Medie,POI_Distinti,Top_POI
0,656,0.9%,7.9,7.8,Museo Conte
1,31064,43.3%,3.9,3.8,Arena
2,26102,36.4%,5.6,5.5,Santa Anastasia
3,176,0.2%,6.2,6.2,Verona Tour
4,13245,18.5%,7.0,6.9,San Fermo
5,498,0.7%,9.0,8.9,Museo Radio
6,18,0.0%,7.2,7.2,Museo Africano
