Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,0.01,0.34
2015,0.02,0.43
2016,0.01,0.44
2017,0.01,0.37
2018,0.0,0.43
2019,0.0,0.57
2020,0.01,0.49
2021,0.0,0.46
2022,0.01,0.4
2023,0.0,0.49
