Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,12.54,58.3,28.21,95.45,204.55
2016,12.5,57.55,28.24,95.45,218.18
2017,12.76,57.93,28.35,95.45,195.45
2018,12.86,56.73,28.14,95.45,186.36
2019,13.61,57.96,29.14,95.45,227.27
2020,10.67,53.18,25.3,95.45,131.82
2021,14.19,55.68,28.73,95.45,154.55
2022,14.94,56.69,29.62,95.45,186.36
2023,11.98,55.13,26.77,95.45,127.27
