Cluster,N_Turisti,Percentuale,Visite_Medie,POI_Distinti,Top_POI
0,1652,21.6%,5.6,5.6,Palazzo della Ragione
1,1809,23.6%,6.1,6.1,Arena
2,368,4.8%,7.1,7.1,Museo Storia
3,2358,30.8%,3.2,3.2,Arena
4,13,0.2%,7.1,7.1,Museo Miniscalchi
5,476,6.2%,6.3,6.3,Giardino Giusti
6,982,12.8%,4.6,4.6,Teatro Romano
