Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,3.7,21.98
2015,4.2,22.58
2016,3.52,22.35
2017,3.43,21.08
2018,3.62,21.23
2019,3.88,22.29
2020,5.78,23.26
2021,2.66,17.39
2022,2.69,18.51
2023,3.16,18.77
